distancia [m],d [10log(m)],Potencia lab 03 [dBm],Potencia lab 04 [dBm]
1.1,0.41,-63.4,-49.2
1.2,0.79,-62.8,-60.4
1.3,1.14,-63.7,-66.4
1.4,1.46,-59.5,-61.2
1.5,1.76,-63.2,-53.2
1.6,2.04,-61.5,-50.3
1.7,2.3,-60.7,-53.7
1.8,2.55,-71.5,-57.4
1.9,2.79,-62.7,-60.9
2,3.01,-60,-53.8
2.1,3.22,-69.3,-56.1
2.2,3.42,-62.5,-56
2.3,3.62,-66.8,-56.2
2.4,3.8,-73.6,-52.6
2.5,3.98,-63.9,-55.7
2.6,4.15,-68.2,-52.5
2.7,4.31,-72.6,-56.1
2.8,4.47,-73.5,-60.4
2.9,4.62,-63.4,-57.8
3,4.77,-69.4,-53.7
3.5,5.44,-68,-60.4
4,6.02,-71.9,-57.7
4.5,6.53,-76.3,-71.3
5,6.99,-75.2,-67.6
5.5,7.4,-75.5,-66.4
6,7.78,-75.1,-67.1
6.5,8.13,-77.7,-63.1
7,8.45,-76.2,-64.7
7.5,8.75,-76.6,-64.5
8,9.03,-79,-68.9
8.5,9.29,-77.5,-76
9,9.54,-74.9,-71.1
10.5,10.21,-78.4,-76.5
11,10.41,-78.3,-74.1
11.5,10.61,-76.1,-66.6
12,10.79,-74.8,-68.9
12.5,10.97,-75,-70.9
13,11.14,-75.7,-79.8
13.5,11.3,-77.7,-78.5
14,11.46,-79.3,-79.4
15,11.76,-81,-79.6
16,12.04,-78.2,-82.4
17,12.3,-81,-82.4
18,12.55,-77.6,-80.6
19,12.79,-81.5,-82.6
20,13.01,-83.4,-79.6
